,Машина,Тип коробки передач,Тип машины,Привод,Цвет,Объем двигателя (л.),Мощность двигателя (л.с.),Тип топлива,Цена (р.),Пробег (км.)
140,Volkswagen Tiguan I Рестайлинг,механика,внедорожник 5 дв.,полный,синий,2.0,200,Бензин,2030000,129000
141,Volkswagen Touareg II,автомат,внедорожник 5 дв.,полный,серебристый,3.6,249,Бензин,1960000,111000
142,Land Rover Range Rover Sport II,автомат,внедорожник 5 дв.,полный,чёрный,3.0,249,Дизель,3470000,106000
143,Porsche Cayenne S II Рестайлинг (958),автомат,внедорожник 5 дв.,полный,чёрный,3.6,420,Бензин,5390000,110000
144,Audi A6 allroad III (C7) Рестайлинг,робот,универсал 5 дв.,полный,чёрный,3.0,190,Дизель,3760000,120000
145,Audi A7 I (4G) Рестайлинг,автомат,лифтбек,полный,фиолетовый,3.0,320,Дизель,4030000,52000
146,Audi Q3 Sportback 35 TFSI I (F3),механика,внедорожник 5 дв.,передний,красный,1.5,150,Бензин,5780000,14000
147,Audi Q3 I (8U),робот,внедорожник 5 дв.,полный,серый,2.0,170,Бензин,1740000,111000
148,Audi Q3 35 TDI II (F3),робот,внедорожник 5 дв.,передний,красный,2.0,150,Дизель,4100000,4000
149,Audi A1 I (8X),механика,хэтчбек 5 дв.,передний,оранжевый,1.2,86,Бензин,1050000,89000
150,Audi A5 I (8T) Рестайлинг,робот,купе,полный,красный,2.0,225,Бензин,1780000,93000
151,Volvo XC60 Recharge II,автомат,внедорожник 5 дв.,полный,белый,2.0,407,Гибрид,5040000,68000
152,Audi Q8 55 TFSI,автомат,внедорожник 5 дв.,полный,серый,3.0,340,Бензин,11130000,10000
153,Skoda Superb III Рестайлинг,робот,лифтбек,полный,белый,2.0,272,Бензин,3710000,8000
154,Audi Q3 I (8U) Рестайлинг,механика,внедорожник 5 дв.,передний,белый,1.4,150,Бензин,2100000,52000
155,"Mercedes-Benz CLA 200 d II (C118, X118)",робот,седан,полный,чёрный,2.0,150,Дизель,3280000,79000
156,Audi A6 40 TDI V (C8),робот,седан,передний,серебристый,2.0,190,Дизель,6180000,34000
157,Mazda CX-5 I Рестайлинг,автомат,внедорожник 5 дв.,передний,серый,2.0,150,Бензин,2150000,92000
158,Audi Q8 45 TDI,автомат,внедорожник 5 дв.,полный,серебристый,3.0,249,Дизель,7300000,41000
159,Audi A3 III (8V) Рестайлинг,робот,седан,передний,серый,1.6,110,Дизель,2080000,89000
160,Audi A6 50 TFSI e V (C8),робот,седан,полный,чёрный,2.0,299,Гибрид,5340000,14000
161,Audi Q7 II (4M),автомат,внедорожник 5 дв.,полный,белый,3.0,249,Дизель,3760000,137000
162,Porsche Cayenne II (958),автомат,внедорожник 5 дв.,полный,синий,3.6,300,Бензин,3450000,125000
163,Audi A4 50 TDI V (B9) Рестайлинг,автомат,седан,полный,чёрный,3.0,286,Дизель,4800000,11000
164,Audi A1 I (8X) Рестайлинг,механика,хэтчбек 5 дв.,передний,синий,1.4,150,Бензин,2150000,25000
165,Audi TT III (8S),механика,купе,передний,красный,1.8,180,Бензин,3530000,37000
166,Audi A3 35 TFSI IV (8Y),робот,седан,передний,чёрный,1.5,150,Бензин,3680000,4000
167,Audi A5 II (F5),робот,лифтбек,полный,синий,2.0,190,Дизель,3300000,78000
168,Audi A5 I (8T),механика,купе,передний,белый,2.7,190,Дизель,1300000,111000
169,Audi A6 35 TDI V (C8),робот,седан,передний,чёрный,2.0,163,Дизель,5360000,39000
170,Mercedes-Benz GLA 200 I (X156),механика,внедорожник 5 дв.,передний,красный,1.6,156,Бензин,2780000,49000
171,Audi A4 IV (B8) Рестайлинг,вариатор,седан,передний,белый,2.0,211,Бензин,1320000,135000
172,Audi A8 Long III (D4) Рестайлинг,автомат,седан,полный,чёрный,3.0,250,Дизель,3890000,72000
173,Audi Q7 I (4L) Рестайлинг,автомат,внедорожник 5 дв.,полный,коричневый,3.0,272,Бензин,2170000,121000
174,BMW 6 серии 620d IV (G32),автомат,лифтбек,задний,чёрный,2.0,190,Дизель,3780000,50000
175,MINI Clubman Cooper S II Рестайлинг,робот,универсал 5 дв.,передний,зелёный,2.0,192,Бензин,3400000,55000
176,Honda Accord VIII,автомат,седан,передний,чёрный,2.2,150,Дизель,1060000,223000
177,Nissan Teana II Рестайлинг,вариатор,седан,передний,чёрный,2.5,182,Бензин,1220000,149000
178,Chevrolet Cruze I Рестайлинг,механика,седан,передний,серый,1.8,141,Бензин,1140000,6000
179,Nissan Teana II,вариатор,седан,передний,чёрный,3.5,249,Бензин,830000,269000
180,Ford Focus III,механика,хэтчбек 5 дв.,передний,серебристый,1.6,125,Бензин,650000,121000
181,Volkswagen Touareg I Рестайлинг,автомат,внедорожник 5 дв.,полный,серый,3.2,241,Бензин,1660000,218000
182,Ford S-MAX I Рестайлинг,автомат,минивэн,передний,белый,2.3,161,Бензин,980000,168000
183,Mitsubishi Outlander II,вариатор,внедорожник 5 дв.,полный,серебристый,2.4,170,Бензин,820000,169000
184,Volkswagen Touran I,механика,компактвэн,передний,чёрный,2.0,140,Дизель,700000,368000
185,Nissan Primera I (P10),автомат,седан,передний,синий,1.8,125,Бензин,100000,279000
186,"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",автомат,седан,полный,чёрный,2.0,194,Дизель,3920000,50000
187,Mercedes-Benz SLK-Класс 350 II (R171),механика,родстер,задний,чёрный,3.5,272,Бензин,1490000,194000
188,Toyota Auris I,механика,хэтчбек 5 дв.,передний,серебристый,1.4,90,Дизель,620000,194000
189,Suzuki SX4 I (Classic),автомат,хэтчбек 5 дв.,полный,серебристый,1.5,110,Бензин,660000,82000
190,Subaru Impreza WRX STi II Рестайлинг 1,механика,седан,полный,синий,2.0,265,Бензин,840000,192000
191,MINI Hatch John Cooper Works III (F55/F56) Рестайлинг,автомат,хэтчбек 3 дв.,передний,чёрный,2.0,231,Бензин,3070000,45000
192,Porsche Cayenne E-Hybrid III,автомат,внедорожник 5 дв.,полный,серый,3.0,340,Гибрид,16800000,20000
193,Nissan X-Trail III,механика,внедорожник 5 дв.,полный,зелёный,1.6,130,Дизель,1900000,94000
194,LADA (ВАЗ) Largus Cross I,механика,универсал 5 дв.,передний,красный,1.6,102,Бензин,820000,120000
195,Chery Tiggo 7 Pro I,вариатор,внедорожник 5 дв.,передний,серый,1.5,147,Бензин,2290000,11000
196,Chery Tiggo 4 I Рестайлинг,робот,внедорожник 5 дв.,передний,белый,1.5,147,Бензин,1800000,21000
197,Ford Focus I Рестайлинг,автомат,седан,передний,красный,1.6,100,Бензин,270000,197000
198,Suzuki Liana I Рестайлинг,автомат,универсал 5 дв.,полный,синий,1.6,107,Бензин,510000,178000
199,Volvo S60 II,автомат,седан,полный,жёлтый,2.4,205,Дизель,1100000,122000
200,BMW 3 серии 330i VII (G2x),автомат,седан,задний,чёрный,2.0,258,Бензин,3490000,39000
201,BMW X5 50i IV (G05),автомат,внедорожник 5 дв.,полный,серый,4.4,462,Бензин,8840000,47000
202,BMW 5 серии 520e VII (G30/G31) Рестайлинг,автомат,седан,задний,белый,2.0,204,Гибрид,6500000,27000
203,BMW X1 20i sDrive II (F48) Рестайлинг,робот,внедорожник 5 дв.,передний,оранжевый,2.0,178,Бензин,4140000,24000
204,BMW 3 серии 320i VI (F3x) Рестайлинг,автомат,седан,задний,синий,2.0,184,Бензин,2140000,98000
205,BMW 4 серии 425d F32/F33/F36,механика,купе,задний,красный,2.0,218,Дизель,2110000,83000
206,BMW 3 серии 330d xDrive VII (G2x),автомат,седан,полный,серый,3.0,286,Дизель,5050000,16000
207,LADA (ВАЗ) 2107,механика,седан,задний,пурпурный,1.6,74,Бензин,100000,59000
