,Машина,Тип коробки передач,Тип машины,Привод,Цвет,Объем двигателя (л.),Мощность двигателя (л.с.),Тип топлива,Цена (р.),Пробег (км.)
737,BMW 3 серии 335d xDrive VI (F3x),автомат,седан,полный,чёрный,3.0,313,Дизель,1690000,155000
738,BMW 5 серии 525xi V (E60/E61) Рестайлинг,механика,седан,полный,синий,3.0,218,Бензин,970000,241000
739,BMW X1 18d I (E84) Рестайлинг,механика,внедорожник 5 дв.,полный,чёрный,2.0,143,Дизель,1160000,197000
740,BMW 1 серии 116d II (F20/F21) Рестайлинг 2,автомат,хэтчбек 5 дв.,задний,голубой,1.5,116,Дизель,2060000,46000
741,Mitsubishi Galant VIII Рестайлинг,автомат,седан,полный,серый,1.8,140,Бензин,220000,165000
742,Mitsubishi Pajero III,автомат,внедорожник 5 дв.,полный,серебристый,3.0,180,Бензин,770000,243000
743,Mitsubishi Pajero IV Рестайлинг 1,автомат,внедорожник 5 дв.,полный,чёрный,3.2,200,Дизель,2440000,309000
744,Mitsubishi Pajero Sport II Рестайлинг,автомат,внедорожник 5 дв.,полный,серый,3.0,222,Бензин,2060000,168000
745,Lexus NX 200 I Рестайлинг,вариатор,внедорожник 5 дв.,полный,чёрный,2.0,150,Бензин,4220000,13000
746,Suzuki Grand Vitara III Рестайлинг 2,автомат,внедорожник 5 дв.,полный,серый,2.4,169,Бензин,1110000,141000
747,Suzuki Grand Vitara III,автомат,внедорожник 3 дв.,задний,серый,2.4,169,Бензин,730000,213000
748,Suzuki Vitara II,механика,внедорожник 5 дв.,передний,серебристый,1.6,117,Бензин,1120000,99000
749,Suzuki SX4 I (Classic) Рестайлинг,механика,седан,передний,чёрный,2.0,145,Бензин,830000,161000
750,Renault Kaptur I Рестайлинг,вариатор,внедорожник 5 дв.,полный,серый,1.3,150,Бензин,2360000,32000
751,Renault Koleos I Рестайлинг,механика,внедорожник 5 дв.,полный,оранжевый,2.5,171,Бензин,1590000,100000
752,Toyota Land Cruiser Prado 150 Series Рестайлинг 3,механика,внедорожник 5 дв.,полный,чёрный,2.7,163,Бензин,8220000,41000
753,Lexus RX 350 III Рестайлинг,автомат,внедорожник 5 дв.,передний,чёрный,3.5,277,Бензин,2890000,152000
754,Volvo S80 II,автомат,седан,передний,чёрный,2.5,200,Бензин,800000,237000
755,Volvo XC60 I Рестайлинг,автомат,внедорожник 5 дв.,полный,белый,2.4,220,Дизель,2430000,149000
756,Audi Q5 45 TFSI II (FY) Рестайлинг,робот,внедорожник 5 дв.,полный,синий,2.0,265,Бензин,8360000,7000
757,Audi Q5 50 TFSI e II (FY) Рестайлинг,робот,внедорожник 5 дв.,полный,синий,2.0,299,Гибрид,9700000,6000
758,Porsche Cayenne Turbo II (958),автомат,внедорожник 5 дв.,полный,чёрный,4.8,500,Бензин,2270000,143000
759,Nissan X-Trail II,механика,внедорожник 5 дв.,полный,серый,2.0,141,Бензин,840000,312000
760,УАЗ Patriot I Рестайлинг 3,механика,внедорожник 5 дв.,полный,белый,2.7,135,Бензин,1770000,67000
761,Chevrolet Cobalt II,автомат,седан,передний,чёрный,1.5,105,Бензин,540000,143000
762,Honda Civic Si IX,механика,седан,передний,коричневый,2.4,201,Бензин,1220000,64000
763,Kia Picanto II,автомат,хэтчбек 5 дв.,передний,серебристый,1.3,85,Бензин,950000,18000
764,Subaru Forester V Рестайлинг,вариатор,внедорожник 5 дв.,полный,чёрный,2.5,185,Бензин,5360000,1000
765,Infiniti QX56 II,автомат,внедорожник 5 дв.,полный,чёрный,5.6,405,Бензин,2310000,143000
766,Volvo S40 II,механика,седан,передний,красный,2.0,136,Дизель,580000,231000
767,Ford Explorer Sport V,автомат,внедорожник 5 дв.,полный,чёрный,3.5,345,Бензин,1660000,166000
768,Ford Kuga I,автомат,внедорожник 5 дв.,полный,чёрный,2.5,200,Бензин,1250000,130000
769,Opel Astra J,автомат,хэтчбек 5 дв.,передний,белый,1.6,115,Бензин,660000,160000
770,Opel Zafira B Рестайлинг,механика,компактвэн,передний,серый,1.9,120,Дизель,790000,137000
771,Mercedes-Benz C-Класс 200 d IV (W205) Рестайлинг,механика,седан,задний,чёрный,1.6,160,Дизель,3190000,29000
772,Mercedes-Benz CLS 220 d III (C257) Рестайлинг,автомат,седан,задний,белый,2.0,194,Дизель,14220000,1000
773,Mercedes-Benz A-Класс 180 CDI III (W176),робот,хэтчбек 5 дв.,передний,белый,1.5,110,Дизель,1180000,99000
774,Mercedes-Benz M-Класс 350 II (W164) Рестайлинг,автомат,внедорожник 5 дв.,полный,чёрный,3.5,272,Бензин,1300000,240000
775,Audi R8 V10 I (Typ 42),механика,купе,полный,белый,5.2,525,Бензин,7030000,59000
776,Land Rover Discovery IV,автомат,внедорожник 5 дв.,полный,белый,5.0,375,Бензин,2280000,136000
777,Land Rover Discovery Sport Ingenium I,автомат,внедорожник 5 дв.,полный,серый,2.0,240,Бензин,3420000,103000
778,Land Rover Range Rover Sport I Рестайлинг,автомат,внедорожник 5 дв.,полный,чёрный,5.0,375,Бензин,2020000,229000
779,Nissan Rogue II,вариатор,внедорожник 5 дв.,передний,серый,2.5,173,Бензин,1700000,100000
780,Nissan Pathfinder III,автомат,внедорожник 5 дв.,задний,серебристый,2.5,174,Дизель,1200000,237000
781,Nissan Teana III,вариатор,седан,передний,чёрный,3.5,249,Бензин,1220000,178000
782,Honda Civic X,вариатор,хэтчбек 5 дв.,передний,чёрный,1.5,182,Бензин,2310000,48000
783,Volkswagen Touran III,робот,компактвэн,передний,белый,2.0,150,Дизель,2130000,82000
784,Volvo XC70 II,автомат,универсал 5 дв.,передний,серебристый,2.4,175,Дизель,1090000,296000
785,Hyundai Tucson III Рестайлинг,механика,внедорожник 5 дв.,передний,серый,2.0,150,Бензин,2750000,24000
786,Hyundai Getz I,механика,хэтчбек 5 дв.,передний,серебристый,1.3,82,Бензин,410000,154000
787,Porsche Panamera 4 I,робот,хэтчбек 5 дв.,полный,серый,3.6,300,Бензин,2560000,145000
788,LADA (ВАЗ) Largus Cross CNG I,механика,универсал 5 дв.,передний,коричневый,1.6,106,Газ,1060000,113000
789,Land Rover Range Rover Evoque I,механика,внедорожник 5 дв.,полный,красный,2.2,150,Дизель,1980000,131000
790,Vortex Estina II (FL-C),механика,седан,передний,чёрный,1.5,109,Бензин,350000,164000
791,BMW 3 серии 330d VI (F3x),автомат,седан,задний,чёрный,3.0,258,Дизель,1770000,131000
792,BMW X6 50i II (F16),автомат,внедорожник 5 дв.,полный,чёрный,4.4,450,Бензин,5040000,80000
793,Mercedes-Benz M-Класс AMG 63 AMG II (W164),автомат,внедорожник 5 дв.,полный,серебристый,6.2,510,Бензин,1730000,150000
794,Kia Rio 6-speed III,автомат,седан,передний,коричневый,1.6,123,Бензин,830000,88000
795,SEAT Alhambra II Рестайлинг,механика,минивэн,передний,серебристый,2.0,184,Дизель,1670000,93000
796,Volkswagen Passat EcoFuel B6,механика,универсал 5 дв.,передний,серый,1.4,150,Газ,680000,172000
797,Volkswagen Beetle II (A5),робот,хэтчбек 3 дв.,передний,чёрный,1.6,105,Дизель,1550000,99000
798,Volkswagen Transporter Long T6 Рестайлинг,робот,фургон,передний,белый,2.0,150,Дизель,4960000,6000
799,Volkswagen Passat GTE B8,робот,седан,передний,белый,1.4,156,Гибрид,1920000,41000
800,Hyundai Creta II,автомат,внедорожник 5 дв.,передний,белый,1.6,123,Бензин,2240000,1000
801,Mercedes-Benz GL-Класс 550 I (X164) Рестайлинг,автомат,внедорожник 5 дв.,полный,белый,5.5,382,Бензин,1810000,138000
802,Toyota Hilux VIII,автомат,пикап двойная кабина,полный,белый,2.8,177,Дизель,5240000,23000
803,Toyota Camry VI (XV40) Рестайлинг,автомат,седан,передний,бежевый,2.4,167,Бензин,1200000,182000
804,Toyota Camry VII (XV50) Рестайлинг 2,автомат,седан,передний,чёрный,2.5,181,Бензин,1970000,146000
805,"Toyota Corolla X (E140, E150) Рестайлинг",механика,седан,передний,чёрный,1.6,124,Бензин,910000,234000
806,LADA (ВАЗ) Largus CNG I,механика,универсал 5 дв.,передний,серебристый,1.6,106,Газ,850000,107000
807,Subaru Impreza II,механика,универсал 5 дв.,полный,белый,1.6,95,Бензин,360000,233000
808,УАЗ 469 315196,механика,внедорожник 5 дв.,полный,зелёный,2.7,112,Бензин,80000,94000
809,УАЗ 3151 315192,механика,внедорожник 5 дв.,полный,бежевый,2.9,85,Бензин,170000,100000
810,Honda Pilot II,автомат,внедорожник 5 дв.,полный,чёрный,3.5,249,Бензин,1120000,149000
811,Honda Civic VI,механика,седан,передний,синий,1.6,114,Бензин,240000,263000
812,Kia Sportage II Рестайлинг,автомат,внедорожник 5 дв.,передний,чёрный,2.7,175,Бензин,860000,187000
813,BMW X6 30d I (E71) Рестайлинг,автомат,внедорожник 5 дв.,полный,чёрный,3.0,245,Дизель,2710000,177000
814,BMW X1 20i xDrive II (F48) Рестайлинг,автомат,внедорожник 5 дв.,полный,чёрный,2.0,192,Бензин,3730000,15000
815,BMW 3 серии 328i xDrive VI (F3x),автомат,седан,полный,чёрный,2.0,245,Бензин,1850000,106000
816,BMW X3 30i xDrive III (G01),автомат,внедорожник 5 дв.,полный,чёрный,2.0,249,Бензин,7030000,13000
817,BMW 7 серии 730i VI (G11/G12),автомат,седан,задний,серый,2.0,249,Бензин,4860000,103000
818,BMW 5 серии 520d xDrive VII (G30/G31) Рестайлинг,автомат,седан,полный,чёрный,2.0,190,Дизель,5200000,11000
819,Mazda MPV II (LW),механика,компактвэн,передний,серый,2.3,163,Бензин,350000,225000
820,Mercedes-Benz C-Класс 350 III (W204) Рестайлинг,автомат,купе,задний,чёрный,3.5,306,Бензин,1580000,159000
821,Chery Tiggo 5 I Рестайлинг,вариатор,внедорожник 5 дв.,передний,серый,2.0,136,Бензин,1160000,98000
822,Citroen C4 Picasso I,робот,компактвэн,передний,фиолетовый,1.6,156,Бензин,420000,181000
823,Citroen C4 II Рестайлинг,автомат,седан,передний,белый,1.6,150,Бензин,1400000,55000
824,Citroen C4 Picasso II Рестайлинг,механика,компактвэн,передний,коричневый,1.6,120,Дизель,1760000,118000
825,Porsche 911 Carrera 4 VII (991) Рестайлинг,робот,купе,полный,зелёный,3.0,370,Бензин,12810000,19000
826,Porsche Cayenne Turbo S II Рестайлинг (958),автомат,внедорожник 5 дв.,полный,чёрный,4.8,570,Бензин,8710000,57000
827,Porsche Cayenne Coupé III,автомат,внедорожник 5 дв.,полный,чёрный,3.0,340,Бензин,14380000,7000
828,Porsche Cayman GT4 II 718 (982),робот,купе,задний,белый,4.0,420,Бензин,12860000,27000
829,Audi A8 Long 45 TDI IV (D5),автомат,седан,полный,чёрный,3.0,249,Дизель,12790000,24000
830,LADA (ВАЗ) 2111 Богдан,механика,универсал 5 дв.,передний,серый,1.6,81,Бензин,90000,196000
831,Chevrolet Captiva I Рестайлинг,автомат,внедорожник 5 дв.,полный,серый,3.0,258,Бензин,1340000,101000
832,ГАЗ 31105 «Волга»,механика,седан,задний,белый,2.1,95,Дизель,200000,124000
833,Porsche Macan S I,робот,внедорожник 5 дв.,полный,чёрный,3.0,340,Бензин,4180000,74000
834,BMW 5 серии 528i xDrive VI (F10/F11/F07) Рестайлинг,автомат,седан,полный,чёрный,2.0,245,Бензин,1630000,149000
835,Mazda CX-5 I,автомат,внедорожник 5 дв.,передний,красный,2.0,150,Бензин,1590000,74000
836,Mazda CX-5 II,автомат,внедорожник 5 дв.,передний,белый,2.0,165,Бензин,2640000,24000
837,Mazda 3 III (BM) Рестайлинг,механика,седан,передний,красный,2.5,184,Бензин,1940000,13000
838,Mazda CX-7 I Рестайлинг,автомат,внедорожник 5 дв.,полный,белый,2.3,238,Бензин,950000,149000
839,Mazda 6 I (GG) Рестайлинг,механика,седан,передний,синий,1.8,120,Бензин,430000,225000
840,Lexus RX 300 I,автомат,внедорожник 5 дв.,передний,чёрный,3.0,201,Бензин,820000,161000
841,Ford Mondeo IV Рестайлинг,механика,седан,передний,чёрный,2.0,140,Дизель,760000,122000
842,Opel Astra GTC H Рестайлинг,робот,хэтчбек 3 дв.,передний,серый,1.4,90,Бензин,450000,286000
843,Lexus RX 200t IV,автомат,внедорожник 5 дв.,передний,золотистый,2.0,238,Бензин,4710000,42000
844,Lexus LS 500 V,автомат,седан,полный,чёрный,3.4,417,Бензин,7180000,64000
845,Ford Explorer VI,автомат,внедорожник 5 дв.,полный,чёрный,3.0,400,Бензин,4480000,33000
846,Geely MK I Рестайлинг,механика,седан,передний,чёрный,1.5,94,Бензин,370000,117000
847,Mercedes-Benz GL-Класс 450 I (X164),автомат,внедорожник 5 дв.,полный,белый,4.7,340,Бензин,1620000,163000
848,"Mercedes-Benz S-Класс 400 d Long VI (W222, C217) Рестайлинг",автомат,седан,полный,серый,2.9,340,Дизель,6490000,48000
849,Mercedes-Benz C-Класс 200 IV (W205),автомат,седан,полный,серый,2.0,184,Бензин,1790000,97000
850,Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167),автомат,внедорожник 5 дв.,полный,чёрный,4.0,612,Бензин,20650000,11000
851,Mercedes-Benz GL-Класс 500 I (X164) Рестайлинг,автомат,внедорожник 5 дв.,полный,чёрный,5.5,388,Бензин,1700000,215000
852,Mercedes-Benz V-Класс 220 d длинный II,автомат,минивэн,полный,чёрный,2.0,163,Дизель,7900000,65000
853,Mercedes-Benz C-Класс 180 BlueEFFICIENCY III (W204) Рестайлинг,автомат,седан,задний,серый,1.8,156,Бензин,1060000,142000
854,Kia Optima IV Рестайлинг,автомат,седан,передний,белый,2.0,245,Бензин,2500000,37000
855,"Mercedes-Benz E-Класс 300 V (W213, S213, C238) Рестайлинг",автомат,купе,задний,серый,2.0,249,Бензин,13150000,2000
856,Volvo XC60 I,автомат,внедорожник 5 дв.,полный,белый,2.4,215,Дизель,1530000,197000
857,Opel Corsa LPG D Рестайлинг I,механика,хэтчбек 5 дв.,передний,чёрный,1.4,89,Газ,660000,140000
858,BMW X3 20d I (E83) Рестайлинг,автомат,внедорожник 5 дв.,полный,чёрный,2.0,177,Дизель,1010000,285000
859,BMW 1 серии 116i II (F20/F21),автомат,хэтчбек 5 дв.,задний,чёрный,1.6,136,Бензин,1200000,142000
860,BMW X5 M50d IV (G05),автомат,внедорожник 5 дв.,полный,чёрный,3.0,400,Дизель,7840000,79000
861,Renault Megane II Рестайлинг,автомат,седан,передний,серый,1.6,115,Бензин,440000,138000
862,Honda Civic Hybrid VIII Рестайлинг,вариатор,седан,передний,красный,1.3,95,Гибрид,810000,166000
863,Honda CR-V II Рестайлинг,механика,внедорожник 5 дв.,передний,синий,2.4,162,Бензин,800000,184000
864,Audi A6 55 TFSI V (C8),робот,седан,полный,синий,3.0,340,Бензин,9970000,33000
865,Renault Dokker I,механика,компактвэн,передний,синий,1.6,82,Бензин,1490000,101000
866,Renault Koleos II,вариатор,внедорожник 5 дв.,полный,белый,2.0,177,Дизель,2770000,101000
867,Renault Sandero II Рестайлинг,автомат,хэтчбек 5 дв.,передний,синий,1.6,102,Бензин,780000,55000
868,Volkswagen Touareg III,автомат,внедорожник 5 дв.,полный,чёрный,3.0,231,Дизель,5900000,69000
869,Volkswagen Teramont I,автомат,внедорожник 5 дв.,полный,белый,3.6,249,Бензин,6090000,52000
870,Volkswagen Amarok I Рестайлинг,механика,пикап двойная кабина,полный,серый,2.0,140,Дизель,3040000,197000
871,Volkswagen Golf Plus II,механика,хэтчбек 5 дв.,передний,белый,1.6,102,Бензин,700000,126000
872,Volkswagen Multivan T5 Рестайлинг,механика,минивэн,передний,белый,2.0,150,Бензин,2710000,155000
873,Volkswagen Touran II,механика,компактвэн,передний,серый,2.0,110,Дизель,890000,96000
874,Volkswagen Jetta GLI VI Рестайлинг,робот,седан,передний,белый,2.0,210,Бензин,1430000,58000
875,Volkswagen Eos I Рестайлинг,робот,кабриолет,передний,чёрный,2.0,210,Бензин,1420000,159000
876,Hyundai Tucson III,автомат,внедорожник 5 дв.,передний,белый,2.0,150,Бензин,1730000,112000
877,Hyundai Sonata VII (LF) Рестайлинг,автомат,седан,передний,чёрный,2.0,150,Бензин,2010000,68000
878,Volkswagen Touran I Рестайлинг,механика,компактвэн,передний,серый,2.0,140,Дизель,820000,154000
879,Haval H2,автомат,внедорожник 5 дв.,передний,белый,1.5,150,Бензин,1810000,13000
880,Ravon R2,автомат,хэтчбек 5 дв.,передний,чёрный,1.3,85,Бензин,620000,72000
881,LADA (ВАЗ) 2101,механика,седан,задний,синий,1.2,64,Бензин,3430000,4000
882,LADA (ВАЗ) Kalina Cross II,механика,универсал 5 дв.,передний,коричневый,1.6,106,Бензин,740000,61000
883,Nissan Qashqai+2 I Рестайлинг,механика,внедорожник 5 дв.,передний,чёрный,2.0,141,Бензин,1050000,205000
884,Nissan Pathfinder III Рестайлинг,автомат,внедорожник 5 дв.,полный,серебристый,2.5,190,Дизель,1610000,175000
885,Cadillac XT5 I Рестайлинг,автомат,внедорожник 5 дв.,передний,чёрный,2.0,237,Бензин,6290000,29000
886,Citroen C1 I Рестайлинг,робот,хэтчбек 5 дв.,передний,белый,1.0,68,Бензин,550000,138000
887,Peugeot Partner I Рестайлинг,механика,фургон,передний,белый,2.0,90,Дизель,360000,405000
888,Peugeot 3008 II,автомат,внедорожник 5 дв.,передний,красный,1.6,150,Бензин,2400000,53000
889,Mercedes-Benz E-Класс AMG 53 AMG V (W213),автомат,купе,полный,чёрный,3.0,435,Бензин,9950000,27000
890,Audi Q7 55 TFSI e II (4M) Рестайлинг,автомат,внедорожник 5 дв.,полный,серый,3.0,381,Гибрид,12640000,16000
891,BMW X3 20d xDrive II (F25),автомат,внедорожник 5 дв.,полный,синий,2.0,184,Дизель,1710000,157000
892,BMW X5 30d III (F15),автомат,внедорожник 5 дв.,полный,чёрный,3.0,249,Дизель,3840000,83000
893,BMW X3 28i xDrive II (F25),автомат,внедорожник 5 дв.,полный,серый,2.0,245,Бензин,2130000,57000
894,BMW 3 серии 320i VII (G2x),автомат,седан,задний,красный,2.0,184,Бензин,3820000,50000
895,BMW 5 серии 530d xDrive VI (F10/F11/F07),автомат,лифтбек,полный,голубой,3.0,258,Дизель,1750000,113000
896,BMW X3 20i xDrive II (F25) Рестайлинг,механика,внедорожник 5 дв.,полный,синий,2.0,184,Бензин,2870000,138000
897,BMW X3 M40d III (G01),автомат,внедорожник 5 дв.,полный,белый,3.0,326,Дизель,4770000,55000
898,Lifan Breez (520),механика,хэтчбек 5 дв.,передний,серебристый,1.3,89,Бензин,210000,245000
899,Mercedes-Benz C-Класс AMG 63 AMG S IV (W205),автомат,седан,задний,чёрный,4.0,510,Бензин,7660000,11000
900,"Mercedes-Benz S-Класс 400 Long VI (W222, C217)",автомат,седан,полный,чёрный,3.0,333,Бензин,5070000,99000
901,Lexus NX 300h I Рестайлинг,вариатор,внедорожник 5 дв.,полный,серый,2.5,155,Гибрид,5380000,25000
902,Lexus GX 460 II Рестайлинг,автомат,внедорожник 5 дв.,полный,чёрный,4.6,296,Бензин,3330000,216000
903,Citroen C-Elysee I,робот,седан,передний,белый,1.2,72,Бензин,540000,128000
904,Citroen C5 II,автомат,седан,передний,синий,1.6,150,Бензин,640000,174000
905,"Toyota Corolla Axio X (E140, E150)",вариатор,седан,полный,синий,1.8,125,Бензин,960000,93000
906,Toyota Highlander I (U20) Рестайлинг,автомат,внедорожник 5 дв.,полный,жёлтый,2.4,157,Бензин,920000,151000
907,Toyota Yaris Verso,механика,компактвэн,передний,золотистый,1.5,106,Бензин,240000,249000
908,Toyota Yaris I,механика,хэтчбек 5 дв.,передний,серебристый,1.4,75,Дизель,260000,371000
909,Haval H5 I,механика,внедорожник 5 дв.,полный,белый,2.0,177,Бензин,2050000,20000
910,Mercedes-Benz GL-Класс 500 II (X166),автомат,внедорожник 5 дв.,полный,чёрный,4.7,435,Бензин,2980000,120000
911,"Mercedes-Benz E-Класс 500 7G-Tronic IV (W212, S212, C207)",автомат,седан,полный,серый,5.5,388,Бензин,1710000,151000
912,Mitsubishi Pajero Sport I,автомат,внедорожник 5 дв.,полный,серебристый,3.0,177,Бензин,870000,239000
913,Nissan Murano II (Z51) Рестайлинг,вариатор,внедорожник 5 дв.,полный,бежевый,2.5,170,Бензин,1480000,95000
914,Bentley Bentayga Speed I,автомат,внедорожник 5 дв.,полный,синий,6.0,635,Бензин,24700000,8000
915,Mercedes-Benz E-Класс 320 I (W124),механика,седан,задний,чёрный,3.2,220,Бензин,1220000,256000
916,Mercedes-Benz GLE Coupe AMG 53 AMG II (C167),автомат,внедорожник 5 дв.,полный,синий,3.0,435,Бензин,15970000,45000
917,Infiniti QX70 Vettel Edition,автомат,внедорожник 5 дв.,полный,синий,5.0,420,Бензин,2570000,149000
918,Infiniti QX50 I Рестайлинг,автомат,внедорожник 5 дв.,задний,чёрный,3.7,325,Бензин,2860000,94000
919,Peugeot 508 I,автомат,седан,передний,белый,2.0,160,Дизель,950000,85000
920,Ford Fiesta Mk5,механика,хэтчбек 5 дв.,передний,красный,1.4,80,Бензин,330000,117000
921,Nissan GT-R I Рестайлинг 1,робот,купе,полный,синий,3.8,550,Бензин,7730000,13000
922,BMW X1 18d xDrive II (F48) Рестайлинг,автомат,внедорожник 5 дв.,полный,синий,2.0,150,Дизель,4580000,17000
923,Toyota Land Cruiser 300 Series,автомат,внедорожник 5 дв.,полный,белый,3.4,299,Дизель,14760000,1000
924,Peugeot 207 I,механика,хэтчбек 5 дв.,передний,чёрный,1.6,110,Бензин,400000,168000
925,Hyundai Tucson I,автомат,внедорожник 5 дв.,полный,голубой,2.0,112,Дизель,930000,285000
926,Porsche Cayenne S Coupé III,автомат,внедорожник 5 дв.,полный,белый,2.9,440,Бензин,17740000,4000
927,Mazda CX-7 I,автомат,внедорожник 5 дв.,полный,пурпурный,2.3,260,Бензин,840000,126000
928,Mazda 3 II (BL) Рестайлинг,механика,седан,передний,серый,1.6,105,Бензин,730000,87000
929,Mitsubishi Outlander II Рестайлинг,вариатор,внедорожник 5 дв.,полный,чёрный,2.0,147,Бензин,1010000,141000
930,Mitsubishi Pajero Sport III Рестайлинг,автомат,внедорожник 5 дв.,задний,серый,2.4,181,Дизель,6450000,2000
931,Mitsubishi ASX I Рестайлинг 3,вариатор,внедорожник 5 дв.,полный,красный,2.0,150,Бензин,3370000,2000
932,Mitsubishi ASX I Рестайлинг,автомат,внедорожник 5 дв.,полный,белый,2.3,150,Дизель,1060000,97000
933,Mitsubishi Pajero Sport III,автомат,внедорожник 5 дв.,полный,серебристый,3.0,209,Бензин,2900000,74000
934,Volvo XC60 II Рестайлинг,автомат,внедорожник 5 дв.,полный,белый,2.0,197,Дизель,6980000,24000
935,Geely Emgrand X7 I,автомат,внедорожник 5 дв.,передний,белый,2.4,156,Бензин,710000,72000
936,Hyundai Genesis II,автомат,седан,полный,чёрный,3.8,315,Бензин,1850000,85000
937,Hyundai Grand Starex I,механика,минивэн,задний,серый,2.5,174,Дизель,1620000,160000
938,Suzuki Jimny IV,механика,внедорожник 3 дв.,полный,серый,1.5,102,Бензин,2660000,40000
939,Kia Cerato 6-speed II,механика,седан,передний,красный,2.0,156,Бензин,790000,143000
940,Volkswagen Taos,механика,внедорожник 5 дв.,передний,оранжевый,1.6,110,Бензин,3070000,17000
941,Volkswagen Caravelle T6 Рестайлинг,робот,минивэн,полный,белый,2.0,150,Дизель,6430000,5000
942,Porsche Cayenne GTS I Рестайлинг (957),автомат,внедорожник 5 дв.,полный,чёрный,4.8,405,Бензин,1240000,257000
943,Lifan X60 I Рестайлинг 2,вариатор,внедорожник 5 дв.,передний,коричневый,1.8,128,Бензин,840000,102000
944,УАЗ Patriot 31631 I,механика,внедорожник 5 дв.,полный,бежевый,2.3,116,Дизель,520000,54000
945,Opel Corsa LPG D Рестайлинг II,механика,хэтчбек 3 дв.,передний,бежевый,1.2,83,Газ,520000,102000
946,Opel Astra K,механика,универсал 5 дв.,передний,синий,1.4,125,Бензин,1640000,69000
947,BMW X3 30d xDrive II (F25),автомат,внедорожник 5 дв.,полный,белый,3.0,249,Дизель,2250000,96000
948,Mercedes-Benz C-Класс AMG 43 AMG IV (W205) Рестайлинг,автомат,седан,полный,белый,3.0,390,Бензин,5900000,35000
949,Mercedes-Benz CL-Класс AMG 65 AMG II (C216) Рестайлинг,автомат,купе-хардтоп,задний,чёрный,6.0,630,Бензин,3680000,68000
950,Mazda Tribute I,автомат,внедорожник 5 дв.,полный,синий,3.0,203,Бензин,350000,278000
951,Haval F7x I,робот,внедорожник 5 дв.,полный,чёрный,2.0,190,Бензин,2930000,28000
952,FAW Besturn X80 I Рестайлинг,механика,внедорожник 5 дв.,передний,чёрный,2.0,142,Бензин,1780000,3000
953,Haval H9 I Рестайлинг,автомат,внедорожник 5 дв.,полный,белый,2.0,190,Дизель,2730000,96000
954,Haval H6,механика,внедорожник 5 дв.,полный,коричневый,1.5,143,Бензин,1880000,45000
955,Volkswagen Multivan T6 Рестайлинг,механика,минивэн,передний,синий,2.0,150,Дизель,8470000,28000
956,Volkswagen Arteon I,робот,лифтбек,полный,белый,2.0,240,Дизель,3780000,30000
957,Skoda Superb III,робот,лифтбек,передний,чёрный,1.4,150,Бензин,1610000,244000
958,Skoda Superb II,робот,универсал 5 дв.,передний,коричневый,2.0,200,Бензин,970000,160000
959,Chery Tiggo (T11) I,механика,внедорожник 5 дв.,передний,серый,1.6,119,Бензин,720000,117000
960,Chery Tiggo 8 I,вариатор,внедорожник 5 дв.,передний,чёрный,2.0,170,Бензин,2480000,25000
961,Ford Escape I Рестайлинг,механика,внедорожник 5 дв.,полный,синий,2.3,155,Бензин,560000,221000
962,Peugeot 3008 II Рестайлинг,автомат,внедорожник 5 дв.,передний,синий,1.6,225,Гибрид,3510000,32000
963,Peugeot 4008,вариатор,внедорожник 5 дв.,полный,белый,2.0,150,Бензин,1340000,97000
964,Renault Fluence I,робот,седан,передний,серый,1.5,110,Дизель,560000,185000
965,Citroen C3 II,механика,хэтчбек 5 дв.,передний,чёрный,1.6,120,Бензин,620000,100000
966,Nissan R'nessa,вариатор,универсал 5 дв.,передний,синий,2.0,140,Бензин,310000,479000
967,Nissan Qashqai I,вариатор,внедорожник 5 дв.,полный,серый,2.0,141,Бензин,810000,157000
968,Nissan Murano I (Z50),вариатор,внедорожник 5 дв.,полный,чёрный,3.5,234,Бензин,970000,188000
969,Jeep Grand Cherokee SRT IV (WK2) Рестайлинг,автомат,внедорожник 5 дв.,полный,чёрный,6.4,468,Бензин,5510000,51000
970,Toyota Hilux VIII Рестайлинг,автомат,пикап двойная кабина,полный,серебристый,2.8,200,Дизель,5560000,54000
971,Volkswagen Caddy Maxi IV,робот,компактвэн,передний,белый,2.0,140,Дизель,2230000,97000
972,Hyundai Santa Fe II Рестайлинг,механика,внедорожник 5 дв.,полный,коричневый,2.2,150,Дизель,1090000,148000
973,Hyundai Santa Fe II,механика,внедорожник 5 дв.,полный,серебристый,2.2,197,Дизель,740000,263000
974,Hyundai Verna II,механика,седан,передний,серый,1.6,112,Бензин,540000,181000
975,Hyundai Sonata VI (YF),автомат,седан,передний,синий,2.4,201,Бензин,890000,209000
976,Hyundai Santa Fe Grand III,автомат,внедорожник 5 дв.,полный,белый,2.2,197,Дизель,2030000,192000
977,Hyundai Elantra VI (AD),автомат,седан,передний,серебристый,2.0,150,Бензин,1300000,157000
978,Hyundai ix55,автомат,внедорожник 5 дв.,полный,белый,3.0,250,Дизель,1670000,178000
979,Chevrolet Cruze I,механика,хэтчбек 5 дв.,передний,чёрный,1.6,109,Бензин,460000,220000
980,Bentley Bentayga I Рестайлинг,автомат,внедорожник 5 дв.,полный,серый,4.0,550,Бензин,41410000,1000
